,year,tier,squad_depth,avg_age,foreigners,avg_market_value,market_value,has_relegated,has_promoted,has_won_titles,league,team,position,predicciones,probabilidades
380,2023,1,36,25.7,21,40630000,1460000000,False,False,True,Premier-League,Manchester City,1.0,False,0.0
381,2023,1,40,24.6,23,30080000,1200000000,False,False,False,Premier-League,Arsenal FC,2.0,False,0.0
382,2023,1,56,22.2,26,18120000,1010000000,False,False,False,Premier-League,Chelsea FC,6.0,False,0.04
383,2023,1,45,24.2,30,21240000,955850000,False,False,False,Premier-League,Liverpool FC,3.0,False,0.02
384,2023,1,41,25.6,27,20450000,838500000,False,False,False,Premier-League,Tottenham Hotspur,5.0,False,0.0
385,2023,1,46,24.9,27,17580000,808750000,False,False,False,Premier-League,Manchester United,8.0,False,0.08
386,2023,1,45,25.0,23,15780000,709900000,False,False,False,Premier-League,Aston Villa,4.0,False,0.0
387,2023,1,45,26.3,21,14500000,652650000,False,False,False,Premier-League,Newcastle United,7.0,False,0.08
388,2023,1,49,24.2,32,10700000,524400000,False,False,False,Premier-League,Brighton & Hove Albion,11.0,False,0.1472038776128446
389,2023,1,46,26.6,35,10900000,501350000,False,False,False,Premier-League,Nottingham Forest,17.0,False,0.14
390,2023,1,36,26.6,19,13540000,487500000,False,False,True,Premier-League,West Ham United,9.0,False,0.08
391,2023,1,40,25.1,17,11170000,446780000,False,False,False,Premier-League,Crystal Palace,10.0,False,0.07602543042352919
392,2023,1,47,23.9,32,9430000,443230000,False,False,False,Premier-League,Wolverhampton Wanderers,14.0,False,0.3418330947590871
393,2023,1,42,25.0,29,10210000,429030000,False,False,False,Premier-League,Brentford FC,16.0,False,0.15809659927921163
394,2023,1,42,25.7,26,9570000,401900000,False,False,False,Premier-League,AFC Bournemouth,12.0,False,0.11809659927921162
395,2023,1,34,26.8,16,11520000,391750000,False,False,False,Premier-League,Everton FC,15.0,False,0.025238757018177772
396,2023,1,35,26.9,31,10980000,384350000,False,False,False,Premier-League,Fulham FC,13.0,False,0.11093021928956091
397,2023,1,39,25.3,30,7010000,273480000,False,True,True,Premier-League,Burnley FC,19.0,False,0.096996336996337
398,2023,1,45,24.7,26,3390000,152450000,False,True,False,Premier-League,Sheffield United,20.0,False,0.4469829600338135
399,2023,1,46,25.7,22,3060000,140900000,False,True,False,Premier-League,Luton Town,18.0,False,0.461885325538361
1304,2023,1,37,25.6,21,30680000,1140000000,False,False,True,LaLiga,Real Madrid,1.0,False,0.0
1305,2023,1,38,24.0,15,24110000,916200000,False,False,True,LaLiga,FC Barcelona,2.0,False,0.0
1306,2023,1,40,25.2,10,12460000,498500000,False,False,False,LaLiga,Real Sociedad,6.0,False,0.0256
1307,2023,1,42,26.9,23,10920000,458450000,False,False,False,LaLiga,Atlético de Madrid,4.0,False,0.18272402465911228
1308,2023,1,37,25.6,15,8050000,297900000,False,False,False,LaLiga,Girona FC,3.0,False,0.0
1309,2023,1,31,27.0,2,9540000,295650000,False,False,False,LaLiga,Athletic Bilbao,5.0,False,0.0
1310,2023,1,39,27.2,15,6470000,252500000,False,False,False,LaLiga,Villarreal CF,8.0,False,0.06727803189839818
1311,2023,1,36,23.8,11,6800000,244730000,False,False,False,LaLiga,Valencia CF,9.0,False,0.007334224324046468
1312,2023,1,49,26.7,27,4670000,228750000,False,False,True,LaLiga,Sevilla FC,13.0,False,0.11255348934254555
1313,2023,1,42,27.0,21,5350000,224880000,False,False,False,LaLiga,Real Betis Balompié,7.0,False,0.012546399396252643
1314,2023,1,39,25.9,14,3830000,149300000,False,False,False,LaLiga,Celta de Vigo,14.0,False,0.30779854427087466
1315,2023,1,46,26.4,18,3070000,141100000,False,True,True,LaLiga,Granada CF,20.0,False,0.2991803860757921
1316,2023,1,40,25.7,18,3330000,133000000,False,False,False,LaLiga,Getafe CF,12.0,False,0.24793337342274702
1317,2023,1,41,24.5,15,3020000,123700000,False,True,False,LaLiga,Deportivo Alavés,10.0,False,0.190990605935909
1318,2023,1,35,26.2,10,3210000,112400000,False,True,False,LaLiga,UD Las Palmas,16.0,False,0.19971732849793486
1319,2023,1,32,27.2,5,3290000,105350000,False,False,False,LaLiga,CA Osasuna,11.0,False,0.038693117299881064
1320,2023,1,41,25.3,23,2420000,99400000,False,False,False,LaLiga,UD Almería,19.0,True,0.6583370219226623
1321,2023,1,35,26.9,14,2510000,87700000,False,False,False,LaLiga,RCD Mallorca,15.0,True,0.579105568260854
1322,2023,1,30,28.9,12,2130000,63950000,False,False,False,LaLiga,Rayo Vallecano,17.0,False,0.03814157243677697
1323,2023,1,44,27.0,15,1380000,60700000,False,False,False,LaLiga,Cádiz CF,18.0,True,0.5923088413827617
2148,2023,1,39,25.2,23,24750000,965150000,False,False,True,Bundesliga,Bayern Munich,3.0,False,0.0
2149,2023,1,32,24.9,23,20570000,658350000,False,False,False,Bundesliga,Bayer 04 Leverkusen,1.0,False,0.0
2150,2023,1,32,25.2,22,17040000,545400000,False,False,True,Bundesliga,RB Leipzig,4.0,False,0.0
2151,2023,1,36,25.6,17,13740000,494800000,False,False,False,Bundesliga,Borussia Dortmund,5.0,False,0.0
2152,2023,1,38,24.4,19,9120000,346630000,False,False,False,Bundesliga,VfB Stuttgart,2.0,False,0.04
2153,2023,1,46,24.7,28,7100000,326650000,False,False,False,Bundesliga,Eintracht Frankfurt,6.0,False,0.20233562569115865
2154,2023,1,33,25.0,20,6260000,206450000,False,False,False,Bundesliga,VfL Wolfsburg,12.0,False,0.0
2155,2023,1,34,26.3,13,5300000,180350000,False,False,False,Bundesliga,SC Freiburg,10.0,False,0.05722571210090137
2156,2023,1,34,26.1,14,5180000,176000000,False,False,False,Bundesliga,TSG 1899 Hoffenheim,7.0,False,0.05434954238913112
2157,2023,1,33,26.0,18,5010000,165230000,False,False,False,Bundesliga,Borussia Mönchengladbach,14.0,False,0.2154148076775169
2158,2023,1,35,27.5,20,4600000,160950000,False,False,False,Bundesliga,1.FC Union Berlin,15.0,False,0.24435565237653345
2159,2023,1,34,26.5,13,4200000,142880000,False,False,False,Bundesliga,1.FSV Mainz 05,13.0,False,0.26419556951384804
2160,2023,1,38,25.6,24,3710000,140800000,False,False,False,Bundesliga,FC Augsburg,11.0,False,0.2752417919769352
2161,2023,1,35,26.4,18,3860000,134930000,False,False,False,Bundesliga,SV Werder Bremen,9.0,False,0.2749636242444829
2162,2023,1,33,26.1,10,2470000,81450000,False,False,False,Bundesliga,1.FC Köln,17.0,False,0.2792972551210832
2163,2023,1,28,26.8,6,2370000,66450000,False,True,True,Bundesliga,1.FC Heidenheim 1846,8.0,False,0.21637363158469378
2164,2023,1,34,28.3,15,1900000,64530000,False,False,False,Bundesliga,VfL Bochum,16.0,False,0.34725489666103193
2165,2023,1,34,27.0,14,1140000,38700000,False,True,False,Bundesliga,SV Darmstadt 98,18.0,True,0.5119421931217434
2942,2023,1,35,27.1,23,18710000,654850000,False,False,True,Serie-A,Inter Milan,1.0,False,0.02
2943,2023,1,42,24.6,26,13610000,571410000,False,False,False,Serie-A,AC Milan,2.0,False,0.0
2944,2023,1,35,26.5,22,14710000,515000000,False,False,True,Serie-A,SSC Napoli,10.0,False,0.04
2945,2023,1,39,25.2,19,12940000,504530000,False,False,False,Serie-A,Juventus FC,3.0,False,0.03741862986692952
2946,2023,1,42,25.2,21,10380000,436050000,False,False,False,Serie-A,Atalanta BC,4.0,False,0.006570294784580497
2947,2023,1,37,25.1,26,9440000,349300000,False,False,False,Serie-A,Bologna FC 1909,5.0,False,0.0640676998951455
2948,2023,1,41,25.2,24,8300000,340400000,False,False,False,Serie-A,AS Roma,6.0,False,0.12925146855972744
2949,2023,1,41,25.7,21,6930000,284100000,False,False,False,Serie-A,ACF Fiorentina,8.0,False,0.025862530820830506
2950,2023,1,45,24.3,33,5170000,232730000,False,False,False,Serie-A,Torino FC,9.0,False,0.11318623148219281
2951,2023,1,37,26.4,20,6090000,225450000,False,False,False,Serie-A,SS Lazio,7.0,False,0.062195979441613536
2952,2023,1,44,25.9,29,4440000,195400000,False,True,False,Serie-A,Genoa CFC,11.0,False,0.41775126244073085
2953,2023,1,45,24.7,36,3780000,170060000,False,False,False,Serie-A,Udinese Calcio,15.0,False,0.20803500230738053
2954,2023,1,39,26.6,13,3680000,143430000,False,False,False,Serie-A,AC Monza,12.0,False,0.3928322730349241
2955,2023,1,50,25.1,32,2810000,140700000,False,False,False,Serie-A,Hellas Verona,13.0,False,0.368819313391963
2956,2023,1,38,25.5,21,3670000,139540000,False,False,False,Serie-A,US Sassuolo,19.0,False,0.2317507254478364
2957,2023,1,45,25.3,25,2400000,108130000,False,True,True,Serie-A,Frosinone Calcio,18.0,True,0.6127086805728266
2958,2023,1,39,24.6,30,2760000,107730000,False,False,False,Serie-A,US Lecce,14.0,False,0.25222205424145855
2959,2023,1,47,25.3,20,2180000,102330000,False,False,False,Serie-A,FC Empoli,17.0,True,0.575918581819665
2960,2023,1,50,25.6,31,1890000,94600000,False,False,False,Serie-A,US Salernitana 1919,20.0,True,0.799876395683013
2961,2023,1,38,27.0,19,2430000,92230000,False,True,False,Serie-A,Cagliari Calcio,16.0,True,0.6533697572362135
3809,2023,1,36,24.9,21,28360000,1020000000,False,False,True,Ligue-1,Paris Saint-Germain,1.0,False,0.0
3810,2023,1,40,24.0,22,9960000,398550000,False,False,False,Ligue-1,AS Monaco,2.0,False,0.0
3811,2023,1,36,24.8,17,10430000,375350000,False,False,False,Ligue-1,Stade Rennais FC,10.0,False,0.02
3812,2023,1,41,23.8,25,8020000,328900000,False,False,False,Ligue-1,LOSC Lille,4.0,False,0.1357842157842158
3813,2023,1,49,24.4,31,6360000,311400000,False,False,False,Ligue-1,Olympique Marseille,8.0,False,0.21192915849345792
3814,2023,1,39,25.5,24,7840000,305950000,False,False,False,Ligue-1,Olympique Lyon,6.0,False,0.07054526343742136
3815,2023,1,38,24.5,20,7070000,268780000,False,False,False,Ligue-1,OGC Nice,5.0,False,0.047334224324046464
3816,2023,1,38,25.9,17,5410000,205600000,False,False,False,Ligue-1,RC Lens,7.0,False,0.047193252153504055
3817,2023,1,39,24.0,19,4040000,157700000,False,False,False,Ligue-1,RC Strasbourg Alsace,13.0,False,0.0640111876148889
3818,2023,1,37,24.8,18,3930000,145580000,False,False,False,Ligue-1,Montpellier HSC,12.0,False,0.12637229570289335
3819,2023,1,39,23.3,27,3720000,145200000,False,False,True,Ligue-1,FC Toulouse,11.0,False,0.07183284841123173
3820,2023,1,39,23.9,25,3450000,134550000,False,False,False,Ligue-1,Stade Reims,9.0,False,0.10110512657957678
3821,2023,1,45,24.7,27,2930000,131850000,False,False,False,Ligue-1,FC Lorient,17.0,False,0.28800225817125247
3822,2023,1,43,25.2,20,2930000,125900000,False,False,False,Ligue-1,FC Nantes,14.0,False,0.17422933047263026
3823,2023,1,31,25.9,9,3710000,115150000,False,False,False,Ligue-1,Stade Brestois 29,3.0,False,0.09472297605222252
3824,2023,1,35,25.2,19,2069999,72500000,False,True,True,Ligue-1,Le Havre AC,15.0,False,0.2814343086465014
3825,2023,1,37,25.5,27,1770000,65400000,False,True,False,Ligue-1,FC Metz,16.0,True,0.5668016787447264
3826,2023,1,36,25.2,20,1700000,61350000,False,False,False,Ligue-1,Clermont Foot 63,18.0,True,0.7501560255212393
